iter	Passed	Remaining
678	1507	5151
679	1508	5148
680	1512	5149
681	1516	5155
682	1519	5156
683	1524	5161
684	1526	5158
685	1528	5156
686	1531	5156
687	1533	5154
688	1536	5152
689	1538	5149
690	1540	5146
691	1541	5142
692	1543	5139
693	1545	5136
694	1547	5133
695	1549	5129
696	1551	5127
697	1553	5124
698	1556	5123
699	1558	5120
700	1560	5117
701	1562	5115
702	1564	5112
703	1566	5110
704	1569	5108
705	1571	5105
706	1573	5103
707	1575	5101
708	1577	5098
709	1579	5095
710	1582	5094
711	1584	5092
712	1586	5089
713	1588	5087
714	1591	5084
715	1593	5081
716	1595	5079
717	1597	5076
718	1599	5073
719	1601	5070
720	1602	5066
721	1604	5063
722	1606	5060
723	1608	5057
724	1610	5054
725	1612	5051
726	1614	5048
727	1616	5045
728	1618	5042
729	1620	5039
730	1622	5037
731	1624	5034
732	1626	5031
733	1628	5028
734	1631	5026
735	1633	5024
736	1635	5021
737	1637	5018
738	1639	5014
739	1640	5011
740	1642	5007
741	1644	5005
742	1646	5002
743	1648	4999
744	1650	4996
745	1652	4993
746	1654	4990
747	1656	4987
748	1658	4984
749	1660	4982
750	1662	4979
751	1664	4975
752	1666	4973
753	1668	4970
754	1670	4967
755	1672	4964
756	1674	4961
757	1676	4958
758	1678	4955
759	1680	4952
760	1682	4950
761	1684	4948
762	1686	4945
763	1688	4942
764	1690	4939
765	1692	4937
766	1695	4935
767	1697	4933
768	1699	4930
769	1701	4928
770	1703	4924
771	1705	4921
772	1707	4919
773	1709	4917
774	1711	4914
775	1713	4912
776	1715	4909
777	1717	4905
778	1719	4902
779	1721	4899
780	1723	4896
781	1725	4894
782	1727	4891
783	1729	4888
784	1731	4885
785	1732	4881
786	1734	4877
787	1736	4874
788	1738	4871
789	1740	4867
790	1741	4864
791	1743	4861
792	1745	4857
793	1747	4854
794	1749	4851
795	1751	4848
796	1752	4845
797	1754	4842
798	1756	4839
799	1758	4836
800	1760	4832
801	1762	4829
802	1764	4826
803	1766	4823
804	1767	4820
805	1769	4817
806	1771	4813
807	1773	4810
808	1775	4807
809	1776	4803
810	1778	4800
811	1780	4796
812	1781	4793
813	1783	4790
814	1785	4786
815	1787	4783
816	1789	4780
817	1790	4777
818	1792	4774
819	1794	4771
820	1796	4767
821	1798	4764
822	1800	4761
823	1801	4758
824	1803	4755
825	1805	4751
826	1807	4748
827	1808	4744
828	1810	4741
829	1812	4738
830	1814	4735
831	1816	4732
832	1817	4728
833	1819	4725
834	1821	4722
835	1822	4718
836	1824	4716
837	1826	4712
838	1828	4709
839	1830	4706
840	1832	4703
841	1834	4701
842	1836	4698
843	1837	4695
844	1839	4691
845	1841	4688
846	1843	4685
847	1844	4682
848	1846	4678
849	1848	4675
850	1849	4671
851	1851	4668
852	1853	4665
853	1855	4662
854	1857	4659
855	1859	4656
856	1860	4653
857	1862	4650
858	1864	4647
859	1866	4643
860	1867	4640
861	1869	4637
862	1871	4634
863	1873	4630
864	1874	4627
865	1876	4623
866	1878	4620
867	1880	4617
868	1881	4614
869	1883	4611
870	1885	4608
871	1887	4605
872	1889	4603
873	1891	4600
874	1893	4597
875	1895	4595
876	1897	4592
877	1899	4589
878	1900	4587
879	1903	4585
880	1905	4582
881	1907	4579
882	1908	4576
883	1910	4573
884	1912	4571
885	1914	4568
886	1916	4565
887	1918	4562
888	1920	4559
889	1921	4556
890	1923	4552
891	1925	4549
892	1927	4546
893	1928	4543
894	1930	4540
895	1932	4536
896	1933	4533
897	1935	4530
898	1937	4527
